radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
CDMA,310,410,33034,36086,0,-74.162521362305,40.735244750977,1000,1,1,1305978203,1305978203,0
CDMA,310,410,33039,30056,0,-74.16114807128899,40.735244750977,1000,1,1,1305978208,1305978208,0
CDMA,310,410,33034,34625,0,-74.133486,40.723178999999995,1000,14,1,1306581861,1306581861,0
CDMA,310,410,33034,62634,0,-74.135055541992,40.720138549805,1000,1,1,1306581859,1306581859,0
CDMA,310,410,33034,41754,0,-74.139862,40.715332000000004,1000,14,1,1306581897,1306581897,0
CDMA,310,410,33034,31085,0,-74.137802124023,40.716018676758,1000,1,1,1306581877,1306581877,0
UMTS,310,260,52164,98428731,0,-74.21608,40.71991,1000,12,1,1359316655,1442436784,0
CDMA,310,410,33034,30445,0,-74.191548,40.684745,1000,22,1,1362493823,1362493823,0
UMTS,310,260,52162,124614841,0,-74.258651733398,40.904159545898,1000,2,1,1372172804,1372172804,0
UMTS,310,260,52164,98407427,0,-74.277877807617,40.73112487793,1000,1,1,1439594592,1439594592,0
UMTS,310,260,52194,32866635,0,-74.122695922852,40.847854614258,1000,3,1,1383681276,1383681276,0
UMTS,310,260,52194,32864815,0,-74.12178,40.850601,1000,3,1,1383701068,1436817024,0
CDMA,310,260,32169,30518,0,-74.118021,40.819454,1206,47,1,1154274248,1154274248,0
CDMA,310,260,32169,33391,0,-74.11880500000001,40.819702,1000,6,1,1154248914,1154248914,0
CDMA,310,260,32169,30519,0,-74.13600799999999,40.828651,1413,62,1,1154274189,1154274189,0
CDMA,310,260,32169,32163,0,-74.153896,40.837472999999996,1644,25,1,1154274121,1154274121,0
CDMA,310,260,32169,34292,0,-74.154598,40.837396999999996,1000,13,1,1154274101,1154274101,0
CDMA,310,260,32169,34293,0,-74.160838,40.840457,1000,31,1,1154274087,1154274087,0
CDMA,310,260,32157,30362,0,-74.172134,40.848975,1000,38,1,1154274044,1154274044,0
CDMA,310,260,32157,30363,0,-74.179859,40.859671,1141,48,1,1154274003,1154274003,0
CDMA,310,260,32157,31792,0,-74.186199,40.869116999999996,1000,29,1,1154273944,1154273944,0
CDMA,310,260,32157,31791,0,-74.190916,40.870999,1371,34,1,1154273956,1154273956,0
CDMA,310,260,32157,31793,0,-74.202463,40.877249,1000,47,1,1154273893,1154273893,0
CDMA,310,260,32157,32388,0,-74.210861,40.882971999999995,1000,35,1,1154273847,1154273847,0
CDMA,310,260,32157,32389,0,-74.219169,40.889225,1000,32,1,1154273802,1154273802,0
CDMA,310,260,32157,38673,0,-74.230736,40.894022,1000,55,1,1154273763,1154273763,0
CDMA,310,260,32157,33418,0,-74.236976,40.897479,1000,37,1,1154249563,1154249563,0
CDMA,310,260,32157,31631,0,-74.246339,40.894973,1000,29,1,1154273684,1154273684,0
CDMA,310,260,32157,30901,0,-74.257889,40.904694,1000,18,1,1154273603,1154273603,0
CDMA,310,260,32157,30902,0,-74.253073,40.897636,1000,16,1,1154273639,1154273639,0
CDMA,310,260,32157,38672,0,-74.219513,40.890083000000004,1000,4,1,1154273773,1154273773,0
UMTS,310,410,3995,151045411,0,-74.342117,40.860214,1000,9,1,1223271538,1223271538,0
UMTS,310,410,3995,151030882,0,-74.347617,40.855557,1000,23,1,1223271653,1223271653,0
UMTS,310,410,3995,151029952,0,-74.343633,40.858064,1279,76,1,1223271654,1223271654,0
UMTS,310,410,3995,151026631,0,-74.346313,40.851974,1000,6,1,1223271556,1223271556,0
UMTS,310,410,3995,151032003,0,-74.346542358398,40.851974487305,1000,4,1,1223271646,1223271646,0
CDMA,310,410,33024,32416,0,-74.346542358398,40.851974487305,1000,1,1,1223271556,1223271556,0
CDMA,310,410,33021,35005,0,-74.347719,40.855604,3658,14,1,1223291356,1367335931,0
UMTS,310,410,3995,151029321,0,-74.346542358398,40.851974487305,1000,1,1,1223271646,1223271646,0
CDMA,310,410,33021,10295,0,-74.326789,40.879018,2117,13,1,1223271827,1223271827,0
CDMA,310,410,33021,33186,0,-74.330442,40.869591,1304,29,1,1223271826,1223271826,0
CDMA,310,410,33021,10294,0,-74.323368,40.884075,1000,8,1,1223271827,1223271827,0
CDMA,310,410,33021,1076,0,-74.288521,40.893173,1000,4,1,1223271827,1223271827,0
UMTS,310,410,3995,150996023,0,-74.27265899999999,40.893173,1000,5,1,1223271827,1223271827,0
UMTS,310,410,3995,150996022,0,-74.271286,40.893723,1000,5,1,1223271827,1223271827,0
UMTS,310,410,3995,151033743,0,-74.234962,40.899353000000005,1000,4,1,1223271827,1223271827,0
UMTS,310,410,3995,151033741,0,-74.225521,40.897293,1000,8,1,1223271832,1223271832,0
UMTS,310,410,3995,151026102,0,-74.220028,40.896606,1000,8,1,1223271833,1223271833,0
UMTS,310,410,3994,151095149,0,-74.20169,40.89795,1571,23,1,1223271843,1223271843,0
CDMA,310,410,33044,31155,0,-74.196701,40.901108,1000,9,1,1223271843,1223271843,0
CDMA,310,410,33044,34666,0,-74.194482,40.903659999999995,1012,11,1,1223291643,1347648595,0
UMTS,310,410,3994,151092469,0,-74.17749,40.908279,1000,10,1,1223271843,1223271843,0
UMTS,310,410,3994,151100648,0,-74.161148,40.905228,1000,9,1,1223271844,1223271844,0
UMTS,310,410,3994,151099309,0,-74.15565500000001,40.901928000000005,1000,8,1,1223271896,1223271896,0
UMTS,310,410,3996,150962225,0,-74.12338299999999,40.901413,1000,2,1,1223271896,1223271896,0
UMTS,310,410,3999,6653773,0,-74.213333129883,40.758590698242,1000,1,1,1223310217,1223310217,0
CDMA,310,410,33050,34635,0,-74.21745300293,40.747604370117,1000,1,1,1223310250,1223310250,0
CDMA,310,410,33049,2305,0,-74.246292114258,40.673446655273,1000,31,1,1223311423,1223311423,0
CDMA,310,410,33049,2306,0,-74.260614,40.673054,1000,7,1,1223311657,1223311657,0
UMTS,310,410,3995,151026963,0,-74.16526794433601,40.87532043457,1000,1,1,1223311848,1223311848,0
UMTS,310,410,3994,151097477,0,-74.15428161621101,40.88493347168,1000,1,1,1223311848,1223311848,0
UMTS,310,410,3996,150962227,0,-74.13230895996101,40.889053344727,1000,1,1,1223311848,1223311848,0
UMTS,310,410,3994,151093478,0,-74.124344,40.890427,1000,10,1,1223311848,1223311848,0
CDMA,310,410,3999,34619,0,-74.178314,40.698166,1000,2,1,1230152887,1230152887,0
CDMA,310,410,33036,38466,0,-74.37126159668,40.695419311523,1000,1,1,1235925795,1235925795,0
CDMA,310,410,33050,21415,0,-74.328689575195,40.710525512695,1000,1,1,1235925929,1235925929,0
CDMA,310,410,33036,44345,0,-74.28199768066399,40.714645385742,1000,1,1,1235926037,1235926037,0
CDMA,310,410,33020,41346,0,-74.235305786133,40.706405639648,1000,1,1,1235926157,1235926157,0
CDMA,310,410,33034,31752,0,-74.133682250977,40.72151184082,1000,1,1,1235926528,1235926528,0
CDMA,310,260,32174,31123,0,-74.179000854492,40.68717956543,1000,2,1,1238928676,1238928676,0
CDMA,310,260,32174,33217,0,-74.17213439941399,40.676193237305,1000,1,1,1238935979,1238935979,0
CDMA,310,260,32174,34233,0,-74.151535,40.705719,1000,18,1,1238935981,1238935981,0
CDMA,310,260,32174,34932,0,-74.158507,40.710499,1000,52,1,1238935984,1238935984,0
CDMA,310,260,32174,31067,0,-74.179001,40.711506,1000,7,1,1238935981,1238935981,0
CDMA,310,260,32174,31069,0,-74.177902,40.707778999999995,1000,30,1,1238935982,1238935982,0
CDMA,310,260,32174,31068,0,-74.171219,40.707684,1531,72,1,1238955782,1337027635,0
CDMA,310,260,32174,34933,0,-74.159938,40.706864,1148,42,1,1238935984,1238935984,0
CDMA,310,260,32169,34923,0,-74.146271,40.722198999999996,1000,18,1,1238955786,1354807302,0
CDMA,310,260,32169,34921,0,-74.125835,40.734068,1000,14,1,1238935986,1238935986,0
CDMA,310,260,32169,31148,0,-74.13230899999999,40.734515,1045,32,1,1238936458,1238936458,0
CDMA,310,260,32169,30921,0,-74.12599200000001,40.735245,1000,5,1,1238936458,1238936458,0
CDMA,310,260,32169,34257,0,-74.142278,40.733821,1000,27,1,1238956258,1338296771,0
CDMA,310,260,32157,34972,0,-74.1403,40.73899,1565,11,1,1238956259,1300061743,0
CDMA,310,260,32169,34259,0,-74.154556,40.732773,1000,5,1,1238936459,1238936459,0
CDMA,310,260,32157,32292,0,-74.19381899999999,40.747014,3532,285,1,1238952075,1238952075,0
CDMA,310,260,32157,32291,0,-74.15685699999999,40.738163,1000,8,1,1238956260,1300061742,0
CDMA,310,260,32157,32772,0,-74.15964699999999,40.742111,1000,54,1,1238956260,1238958596,0
CDMA,310,260,32157,33269,0,-74.157239,40.743590000000005,1000,13,1,1238956261,1238958596,0
CDMA,310,260,32157,32771,0,-74.170074,40.747603999999995,1000,16,1,1238956262,1238958596,0
CDMA,310,260,32157,32773,0,-74.119416,40.754607,6115,308,1,1238956262,1238958596,0
CDMA,310,260,32157,34961,0,-74.18603900000001,40.751553,1000,8,1,1238956262,1238958596,0
CDMA,310,260,32157,33979,0,-74.19396,40.752818,1000,103,1,1238956263,1238958597,0
CDMA,310,260,32170,33028,0,-74.20200200000001,40.758195,1242,215,1,1238956263,1351964694,0
CDMA,310,260,32170,33029,0,-74.220455,40.765131,1288,59,1,1238956264,1335560571,0
CDMA,310,260,32170,34598,0,-74.23057,40.769861,1000,29,1,1238956266,1371988738,0
CDMA,310,260,32170,37692,0,-74.23938299999999,40.773,1000,65,1,1238956267,1238958599,0
CDMA,310,260,32170,35908,0,-74.239659,40.777028,1000,47,1,1238956270,1238958600,0
CDMA,310,260,32170,35907,0,-74.238063,40.778302000000004,1000,133,1,1238956270,1238958605,0
CDMA,310,260,32170,38482,0,-74.23805236816399,40.777816772461,1000,6,1,1238936476,1238936476,0
CDMA,310,260,32172,30363,0,-74.176034,40.852882,1000,56,1,1238959789,1238959789,0
CDMA,310,260,32172,30362,0,-74.17178100000001,40.852308,1290,70,1,1238953048,1238953048,0
CDMA,310,260,32172,30361,0,-74.170654,40.864513,1001,77,1,1238959785,1238959785,0
CDMA,310,260,32172,33368,0,-74.160399,40.881969,1169,44,1,1238942863,1238942863,0
CDMA,310,260,32172,33562,0,-74.166004,40.876849,8597,71,1,1238962661,1325430477,0
CDMA,310,260,32172,33561,0,-74.16277099999999,40.883559999999996,1000,11,1,1238942863,1238942863,0
CDMA,310,260,32172,32173,0,-74.148865,40.887299,1000,18,1,1238962663,1314711990,0
CDMA,310,260,32172,32171,0,-74.139886,40.888721999999994,1000,29,1,1238942865,1238942865,0
CDMA,310,260,32172,32669,0,-74.13212299999999,40.892860999999996,4783,22,1,1238962665,1330961604,0
CDMA,310,260,32172,34383,0,-74.13167800000001,40.888751,5217,50,1,1238962665,1325708995,0
CDMA,310,260,32172,34381,0,-74.11904399999999,40.894721999999994,1867,47,1,1238955491,1238955491,0
CDMA,310,260,32161,34161,0,-74.22157299999999,40.714614000000005,1000,44,1,1238943079,1238943079,0
CDMA,310,260,32161,32007,0,-74.221572875977,40.714645385742,1000,298,1,1238943079,1238943079,0
CDMA,310,260,32161,32008,0,-74.221572875977,40.714645385742,1000,66,1,1238943080,1238943080,0
CDMA,310,260,32161,30242,0,-74.22569200000001,40.719452000000004,1000,2,1,1238962875,1336118947,0
CDMA,310,260,32170,34893,0,-74.22399300000001,40.760925,1000,80,1,1238947464,1238947464,0
CDMA,310,260,32170,34323,0,-74.222767,40.76236,1011,184,1,1238947467,1238947467,0
CDMA,310,260,32170,34882,0,-74.219284,40.767942,1000,21,1,1238967267,1337983841,0
CDMA,310,260,32170,34321,0,-74.220574,40.765207000000004,1000,11,1,1238967268,1337887879,0
CDMA,310,260,32170,34322,0,-74.204101,40.758362,1119,18,1,1238951985,1238951985,0
CDMA,310,260,32157,33978,0,-74.187584,40.751782,1000,24,1,1238958597,1238958597,0
CDMA,310,260,32173,34121,0,-74.124566,40.862756,7987,47,1,1238968888,1325709843,0
CDMA,310,260,32173,34122,0,-74.122262,40.860118,8268,57,1,1238968889,1325709810,0
CDMA,310,260,32173,32879,0,-74.133899,40.860937,1000,19,1,1238951078,1238951078,0
CDMA,310,260,32168,32813,0,-74.123611,40.865982,1000,15,1,1238953119,1238953119,0
CDMA,310,260,32173,34123,0,-74.12773100000001,40.861588,1000,3,1,1238970444,1301826780,0
CDMA,310,260,32173,31311,0,-74.125788,40.87738,6378,4,1,1238970444,1325709141,0
CDMA,310,260,32173,33781,0,-74.137001,40.856895,1000,12,1,1238950662,1238950662,0
CDMA,310,260,32173,34447,0,-74.136429,40.855751,1000,4,1,1238950662,1238950662,0
CDMA,310,260,32173,34449,0,-74.139175,40.853806,1000,3,1,1238950662,1238950662,0
CDMA,310,260,32173,33782,0,-74.139175,40.853004,1000,4,1,1238950662,1238950662,0
CDMA,310,260,32173,34448,0,-74.131393,40.848312,1000,3,1,1238950662,1238950662,0
CDMA,310,260,32173,33751,0,-74.128361,40.845108,1000,16,1,1238951188,1238951188,0
CDMA,310,260,32172,33299,0,-74.131953,40.862605,1000,27,1,1238951500,1238951500,0
CDMA,310,260,32172,33297,0,-74.126816,40.86453,1000,7,1,1238953117,1238953117,0
CDMA,310,260,32168,32811,0,-74.11782099999999,40.871681,6971,40,1,1238970880,1325709090,0
